user_id,monthly_avg_revenue,transaction_volume_90d,avg_transaction_amount,transaction_count_90d,account_age_days,successful_transactions,failed_transactions,avg_daily_balance,fraud_incidents,disputed_transactions,chargebacks,defaulted
USER_0000,4898.6461647333235,4873.113730954797,45.6729066370574,48,153,93,1,492.1294692942458,0,0,0,0
USER_0001,2596.0223802250216,4702.751631695789,66.32059861493408,61,51,93,3,1290.55846746731,0,0,0,0
USER_0002,5696.963189638749,939.3876180860732,49.53200067373452,58,312,90,2,479.32232702930503,0,0,0,0
USER_0003,13670.969602237634,5452.839548011323,100.52616550997014,44,152,97,2,550.3344421571992,0,0,0,0
USER_0004,2358.6545400025843,19523.90513661035,298.0253444747341,48,411,92,3,3535.3112354515383,0,0,0,0
USER_0005,2358.693264178014,1756.2242255094263,41.63569460961925,48,493,96,1,1377.8919374466204,0,0,0,0
USER_0006,14461.031321006798,28514.818578739243,244.89278383645745,36,320,96,3,1576.8521833535228,0,0,0,0
USER_0007,6421.677973695303,14549.760111785354,41.19545470820511,56,117,95,0,667.2263621088056,0,0,0,0
USER_0008,1864.0850354191616,3357.3928478943194,38.566066650038714,55,259,94,2,804.8652457609339,0,0,0,0
USER_0009,5128.456643016018,6837.411034203757,204.09684637880932,41,105,89,6,768.3304658280861,0,0,1,0
USER_0010,1875.4094861760466,55159.60490478698,226.3169336143308,56,851,95,1,608.4021768508857,0,0,0,0
USER_0011,1871.0784342552051,19540.75133936922,210.90545168317522,47,530,92,1,585.636664153409,0,0,0,1
USER_0012,3796.983715970998,8188.9452698824325,24.148024892922592,48,247,97,1,461.7175084590264,0,0,0,0
USER_0013,439.9758131739537,6092.294285016474,56.48917472050149,52,1228,96,2,275.50251716481597,0,0,0,0
USER_0014,531.1700248710702,8883.322172463459,204.9956156841914,47,288,95,3,1016.7088939603251,0,0,0,0
USER_0015,1698.8595819018974,4384.731758736867,93.83536781709239,43,145,96,0,423.29871505815015,0,0,0,1
USER_0016,1082.6520150942324,648.2656675610401,30.76283033212449,41,36,90,2,5770.544373346027,0,0,0,0
USER_0017,4081.612184442045,93958.97150714413,142.35414606126614,63,286,94,2,287.79385665503185,0,0,0,0
USER_0018,1202.2810717364553,9763.341611526703,44.04415885629993,63,718,95,2,732.137520696923,0,0,0,0
USER_0019,726.1062098359782,13066.104564302193,541.5984438739457,46,735,94,3,2284.897024760621,0,0,0,1
USER_0020,12908.596566682427,7559.1248368238075,421.93086028179005,54,338,95,2,128.82396448563452,0,0,0,0
USER_0021,2378.49615549353,3353.835311733976,164.6953537421616,63,182,99,3,2378.003408013551,0,0,0,0
USER_0022,3189.2090065035436,6482.688678816682,351.0773974697057,54,383,95,2,480.78577893614255,0,0,0,0
USER_0023,717.1261838771879,1188.831636057219,96.04255265902552,42,524,94,3,372.01014798120474,0,0,1,0
USER_0024,1729.5512754153685,124555.14115317173,193.5309589750241,50,193,90,2,1968.3655317091475,0,0,0,0
USER_0025,3330.649435748916,1841.9601857437335,394.53990767226617,43,236,98,2,2206.0948964608483,0,0,0,0
USER_0026,942.9435536568758,2348.7544829593758,115.0651721045687,48,416,95,4,362.8350473480416,0,0,0,0
USER_0027,4340.296828180409,4777.577771749089,69.74270507445368,41,763,98,2,784.2805450791932,0,0,0,0
USER_0028,1634.9398768414596,38013.28070255474,16.368815680543204,54,571,97,0,3671.035103131121,0,0,0,0
USER_0029,2226.7674753681945,8245.400420904612,82.83630854555336,53,8,95,2,703.4652129737185,0,0,0,0
USER_0030,1633.1948200289023,1838.3745156672423,205.08472461502987,61,48,97,3,401.7154389684355,0,0,0,0
USER_0031,19001.594667763246,36505.055356903744,231.7440262854382,34,699,94,2,968.2918869919446,0,0,0,0
USER_0032,2940.993637765318,19481.113799789506,149.06240827229468,36,655,95,2,998.7887850841175,0,0,0,0
USER_0033,1035.1370071989943,15461.710380578372,52.38922314680748,48,179,97,1,846.611650908722,0,0,0,1
USER_0034,6785.511200031795,19127.475522534805,12.468162947193559,42,320,95,4,1717.9128577250478,1,0,0,0
USER_0035,879.3265672585328,143377.21175812933,54.86002284841618,47,862,100,1,575.8645677635421,0,0,0,0
