transaction_id,user_id,amount,merchant_name,merchant_mcc,merchant_category,timestamp,is_fraud,device_fingerprint,user_location_lat,user_location_lon,merchant_location_lat,merchant_location_lon,account_age_days,region
TXN_000301,USER_0051,561.4746886816683,Caltex,5542,FUEL,2025-10-28 13:31:56.772121,0,DEV_5162,-17.49025600072949,15.75627002929185,-17.273471681106567,15.811499468527984,220,Oshana
TXN_007693,USER_0865,317.62067389752315,KFC,5812,DINING,2025-10-28 13:55:21.942869,1,DEV_9679,-17.870370442265372,14.979270563279037,-17.81379479598846,14.538145844499006,388,Hardap
TXN_004859,USER_0945,159.58396199274378,Steers,5812,DINING,2025-10-28 16:07:13.579905,0,DEV_5271,-21.852170385629503,14.868960036816734,-22.179265862714345,15.477801986336429,160,Oshikoto
TXN_005692,USER_0648,1281.7692095016632,City of Windhoek,4900,UTILITIES,2025-10-28 16:13:18.578292,0,DEV_8050,-18.781484189086427,16.668743986883275,-18.996070395918498,16.066412899991466,107,Omusati
TXN_002804,USER_0236,172.59653643681628,Spar,5411,GROCERIES,2025-10-28 18:27:59.533521,0,DEV_3047,-17.323039346983357,15.703725384299721,-17.627420656925015,16.42737782335224,476,Khomas
TXN_008966,USER_0223,247.87879581068867,Game,5411,GROCERIES,2025-10-28 19:27:49.702596,0,DEV_3773,-17.734971758318604,14.712735465849907,-17.714088887267437,15.281258387021886,293,Khomas
TXN_006944,USER_0078,1160.1826738039997,City of Windhoek,4900,UTILITIES,2025-10-28 19:30:44.681109,0,DEV_4609,-18.225373089127963,15.294152474336862,-17.69204166076279,14.626283536077338,187,Khomas
TXN_009553,USER_0691,130.91827630052967,Ocean Basket,5812,DINING,2025-10-28 20:46:54.358518,1,DEV_4815,-17.905321440781417,14.722617151370866,-18.19296229626916,15.22990937866125,618,Erongo
TXN_002078,USER_0741,289.88084071191054,OK Foods,5411,GROCERIES,2025-10-28 20:47:26.504281,0,DEV_9095,-26.729747011462297,18.17725252311969,-26.47815040011213,18.00790326549553,12,Omusati
TXN_003169,USER_0881,1083.5504471782554,MTC,4900,UTILITIES,2025-10-28 20:57:10.797031,0,DEV_8791,-17.262324534848617,15.622736681937232,-17.348334955844326,16.183987105830063,950,Oshikoto
TXN_000676,USER_0496,153.88526213675092,Makro,5411,GROCERIES,2025-10-28 21:07:19.653005,0,DEV_4186,-22.551486902012858,16.939020577670245,-22.435676440270633,16.98931175515511,18,Khomas
TXN_009104,USER_0171,141.26474166370983,The Social,5812,DINING,2025-10-28 21:32:47.570770,0,DEV_3202,-22.513663940657437,16.81880046659181,-23.77390142597053,18.460599510035095,201,Karas
TXN_009829,USER_0009,407.4047508467426,Clicks,5912,HEALTH,2025-10-28 21:33:38.584165,0,DEV_7283,-17.967714615053623,14.545754659573811,-17.78292542623912,15.165581750454821,330,Erongo
TXN_005354,USER_0708,524.6449878246251,Total,5542,FUEL,2025-10-28 21:35:30.576946,0,DEV_7307,-17.30455829582114,16.21485439933302,-17.3916614729379,15.559851716115224,2051,Khomas
TXN_009511,USER_0816,244.44358572960869,Makro,5411,GROCERIES,2025-10-28 21:35:57.432914,0,DEV_9060,-17.422174492552333,15.853894519376974,-17.671555165226703,15.66707852085201,2423,Khomas
TXN_004504,USER_0331,100.64000616299474,Coco's Restaurant,5812,DINING,2025-10-28 21:36:45.385263,0,DEV_5848,-17.66532744000102,16.045691480054217,-17.354501565527702,16.106729953475625,60,Khomas
